Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,22,0xbaf347957cefc99027af15a8ef4bc50ad1a56990,5824.301526,3760.169065
Winner 1,23,0x55d564bdad517cc4721ba7ab7612c97d888d4b7a,4987.494052,3219.92616
Winner 1,24,0xd1eeb49d8927b86bef61d384eb4e09a4cdb02ac4,4979.837939,3214.983373
Winner 1,25,0x72395c24353184ba6b42011af8f63568e0342468,4692.912115,3029.744061
Winner 1,26,0x69b5f5e85ce1b82b383034a1c2629c143b8e29a9,4671.524669,3015.936326
Winner 1,27,0x377f8d3d43c8e2b1f5dd5b62ed7ffd9578a0affc,4658.030007,3007.224173
Winner 1,28,0x89b0e37036d2c8f0d1557ef16403903b6783a43b,4520.227515,2918.258884
Winner 1,29,0xb4f7799b5b25f758e49f56b80d834817cd8588bd,4491.577035,2899.762134
Winner 1,30,0xcfbfd8fbcd146aa249fd7be5f9287ec13101359d,4011.182167,2589.619207
Winner 1,31,0x52903d932a72e2cea4d15816985495a1ea407b7c,3932.446587,2538.787517
Winner 1,32,0xba0c41eb89ed6e2accf70f91a6fa07f79f3b5cc6,3720.553493,2401.989335
Winner 1,33,0xb9a03d417cec412e69bfd9c52fd928ffb717cebe,3687.887029,2380.899866
Winner 1,34,0xc6b16646d94c2e0932f1f728c83e782998c19ccf,3631.182709,2344.291557
Winner 1,35,0xaae5f9ad45de6fd0a884caf6690d6add51d1e336,3279.787073,2117.430534
Winner 1,36,0xf947c3c9ada5ca0995d56802bc8a21c5e8e523dd,3223.765901,2081.263266
Winner 1,37,0x44a5aa2d447392161a03f670181852675b9709f7,2960.939655,1911.582641
Winner 1,38,0x8592d64c62d9c06d65ddac09d698bbf51cf7d8c5,2628.119186,1696.713746
Winner 1,39,0x98a529e3488c2d44566881feab335b17b1c3b430,2513.439026,1622.676235
Winner 1,40,0xf37de319bcf6cb725572ed8c8c6bd90ff57ccb6b,2505.380018,1617.47334
Winner 1,41,0xda9f37c1333bb2474a7012024d397654e603c3f1,2374.870954,1533.216688
Winner 1,42,0x381dbcc8888642ef87da499aeee039b074768c1e,2297.113137,1483.016241
Winner 1,43,0x8e5e83d2f1c569a01e6f3ed31da41f6b4a97f09e,2178.709626,1406.574935
Winner 1,44,0xf5fcaae203bd5dd81ef969c3fecc872f38aeccab,2146.103907,1385.524682
Winner 1,45,0xadca36f4cc4f7b5456e8bc8476f6838552b6d25e,2143.066208,1383.563544
Winner 1,46,0x94b3c8f399c0d5703603d2b0780fa08a8e436fd8,2094.497157,1352.207365
Winner 1,47,0x63a94a0e1c2c7c57e8cb7e887588a58c5179e6f0,2073.524039,1338.66712
Winner 1,48,0x823b6b8da270906f0a231223e46edb5bdea3ff13,2034.375687,1313.392944
Winner 1,49,0x2c9c3050b242df683c5db26a0c5874c938e06b8f,2027.744672,1309.11196
Winner 1,50,0x588349be5a33a6eab84403c4fd8487552ebe52b3,1875.88573,1211.071827
